uuid,story,room_index,n_planes_scored,n_disagree,disagreement_rate,building_n_stories,is_top_story,is_ground_story,is_only_story,exterior_edge_frac,perimeter_m,max_floor_dim_m,floor_area_m2,aspect_ratio
1d26eda3-c927-4cdf-a3b0-218036828a55,1,1,15,8,0.533,2,True,False,False,0.41,27.31,8.98,21.24,1.61
1d26eda3-c927-4cdf-a3b0-218036828a55,1,2,14,6,0.429,2,True,False,False,0.244,14.24,4.65,5.88,1.39
1d26eda3-c927-4cdf-a3b0-218036828a55,1,3,3,0,0.0,2,True,False,False,0.801,15.78,5.75,14.59,1.14
1d26eda3-c927-4cdf-a3b0-218036828a55,1,4,1,0,0.0,2,True,False,False,0.721,15.16,4.62,14.1,1.15
1d26eda3-c927-4cdf-a3b0-218036828a55,1,5,2,1,0.5,2,True,False,False,0.614,21.64,7.04,26.0,1.37
1d26eda3-c927-4cdf-a3b0-218036828a55,0,6,2,0,0.0,2,False,True,False,0.719,9.6,3.32,5.75,1.02
1d26eda3-c927-4cdf-a3b0-218036828a55,1,9,1,0,0.0,2,True,False,False,0.398,20.71,6.51,24.05,1.21
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,0,38,32,0.842,2,True,False,False,0.343,30.96,10.21,43.76,1.24
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,1,25,13,0.52,2,True,False,False,0.48,31.99,7.97,33.17,1.07
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,2,4,3,0.75,2,True,False,False,0.487,16.89,5.98,17.47,1.08
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,3,5,1,0.2,2,True,False,False,0.58,20.92,7.29,27.25,1.03
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,4,4,2,0.5,2,True,False,False,0.2,27.75,6.46,11.08,1.01
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,5,3,2,0.667,2,True,False,False,0.483,11.57,4.0,8.34,1.03
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,6,26,18,0.692,2,True,False,False,0.24,26.87,8.11,18.77,1.32
1f03f6e0-dfe6-4b25-bb45-f44ad146c0a3,1,7,7,5,0.714,2,True,False,False,0.489,17.62,6.31,18.79,1.09
