uuid,story,room_index,has_dormer,exposed,n_planes_scored,n_disagree,disagreement_rate,ceiling_type,raw_ceiling_source,n_walls_computed,n_doors,n_windows,n_openings,n_storages,n_floor_corners,floor_area_m2,raw_area_xz_m2,raw_area_vs_floor,n_raw_planes_room,n_raw_oblique,n_raw_near_vertical,incl_p50_deg,incl_range_deg,incl_std_deg,azimuth_range_deg
107e8496-9bff-42bb-b776-720f44b70e55,0,7,False,True,1,0,0.0,sloped,noMesh,5,2,1,1,0,8,11.52,11.55,1.003,1,1,0,19.14,0.0,0.0,0.0
107e8496-9bff-42bb-b776-720f44b70e55,0,8,False,True,1,0,0.0,sloped,noMesh,4,1,1,0,1,6,2.17,1.92,0.884,1,1,0,17.48,0.0,0.0,0.0
10d27382-8fce-456b-897d-3d5194ff5de5,1,0,False,True,1,0,0.0,none,noMesh,7,0,2,2,9,13,11.24,10.63,0.946,1,0,0,0.0,0.0,0.0,0.0
10d27382-8fce-456b-897d-3d5194ff5de5,1,1,False,True,1,0,0.0,none,noMesh,4,1,1,0,2,4,6.13,6.13,1.0,1,0,0,0.0,0.0,0.0,0.0
10d27382-8fce-456b-897d-3d5194ff5de5,1,2,False,True,1,0,0.0,none,noMesh,8,4,5,1,3,17,25.11,23.72,0.945,1,0,0,0.0,0.0,0.0,0.0
10d27382-8fce-456b-897d-3d5194ff5de5,1,3,False,True,1,0,0.0,none,noMesh,5,1,0,2,1,9,4.76,4.46,0.937,1,0,0,0.0,0.0,0.0,0.0
10d27382-8fce-456b-897d-3d5194ff5de5,1,4,False,True,1,0,0.0,none,noMesh,4,1,1,0,3,9,7.23,6.6,0.914,1,0,0,0.0,0.0,0.0,0.0
10d27382-8fce-456b-897d-3d5194ff5de5,1,5,False,True,1,0,0.0,none,noMesh,6,1,2,2,2,11,15.46,15.22,0.985,1,0,0,0.0,0.0,0.0,0.0
10d27382-8fce-456b-897d-3d5194ff5de5,1,6,False,True,1,0,0.0,none,noMesh,4,0,1,1,4,4,4.89,4.89,1.0,1,0,0,0.0,0.0,0.0,0.0
10d27382-8fce-456b-897d-3d5194ff5de5,1,7,False,True,1,0,0.0,none,noMesh,6,1,1,1,3,12,10.17,8.26,0.812,1,0,0,0.0,0.0,0.0,0.0
10d27382-8fce-456b-897d-3d5194ff5de5,0,8,False,True,1,0,0.0,none,noMesh,7,0,1,0,1,8,4.89,4.89,1.0,1,0,0,0.0,0.0,0.0,0.0
117d172e-00d6-436e-8df2-050f25977602,0,1,False,True,1,0,0.0,none,noMesh,4,2,2,1,4,4,25.33,25.33,1.0,1,0,0,0.0,0.0,0.0,0.0
117d172e-00d6-436e-8df2-050f25977602,0,2,False,True,1,0,0.0,none,noMesh,4,1,1,0,4,10,2.99,3.03,1.015,1,0,0,0.0,0.0,0.0,0.0
117d172e-00d6-436e-8df2-050f25977602,1,5,False,True,5,1,0.2,sloped,noMesh,5,2,1,0,4,7,11.34,11.33,0.999,6,5,1,45.01,90.0,26.09,190.12
117d172e-00d6-436e-8df2-050f25977602,1,6,False,True,20,7,0.35,sloped,noMesh,13,6,0,0,0,13,8.19,8.15,0.995,20,18,0,42.81,71.37,22.8,266.85
117d172e-00d6-436e-8df2-050f25977602,1,7,False,True,2,1,0.5,none,noMesh,5,2,1,0,2,4,12.77,12.77,1.0,2,1,0,23.08,46.16,23.08,0.0
117d172e-00d6-436e-8df2-050f25977602,1,8,False,True,2,1,0.5,none,noMesh,5,0,1,1,2,14,7.05,6.59,0.935,2,1,0,22.59,45.17,22.59,0.0
121ff4c2-ec13-46b8-b557-b31775259e5d,0,0,False,True,1,0,0.0,none,noMesh,4,2,0,0,4,7,6.22,5.98,0.962,1,0,0,0.0,0.0,0.0,0.0
121ff4c2-ec13-46b8-b557-b31775259e5d,0,1,False,True,1,0,0.0,none,noMesh,6,2,2,1,7,6,35.36,35.36,1.0,1,0,0,0.0,0.0,0.0,0.0
121ff4c2-ec13-46b8-b557-b31775259e5d,0,2,False,True,1,0,0.0,none,noMesh,8,6,0,1,0,20,8.27,7.24,0.874,1,0,0,0.0,0.0,0.0,0.0
121ff4c2-ec13-46b8-b557-b31775259e5d,0,3,False,True,1,1,1.0,sloped,noMesh,4,1,0,0,0,10,4.22,3.44,0.814,1,1,0,24.66,0.0,0.0,0.0
121ff4c2-ec13-46b8-b557-b31775259e5d,0,4,False,True,1,0,0.0,none,noMesh,5,1,1,0,2,4,6.9,6.9,1.0,1,0,0,0.0,0.0,0.0,0.0
121ff4c2-ec13-46b8-b557-b31775259e5d,0,5,False,True,1,0,0.0,none,noMesh,5,2,1,0,0,4,10.47,10.47,1.0,1,0,0,0.0,0.0,0.0,0.0
121ff4c2-ec13-46b8-b557-b31775259e5d,0,6,False,True,1,0,0.0,none,noMesh,6,1,1,0,2,6,7.23,7.23,1.0,1,0,0,0.0,0.0,0.0,0.0
146ecf8b-ffa1-4239-ba58-040b61861fd9,0,0,False,True,4,0,0.0,sloped,noMesh,6,2,2,0,2,8,11.25,11.03,0.981,5,4,1,36.1,90.0,28.81,185.4
146ecf8b-ffa1-4239-ba58-040b61861fd9,0,1,False,True,4,1,0.25,none,noMesh,3,2,1,0,0,6,7.91,8.23,1.039,6,5,2,29.28,90.0,34.04,194.45
146ecf8b-ffa1-4239-ba58-040b61861fd9,0,2,False,True,1,0,0.0,none,noMesh,4,1,0,1,3,7,10.89,10.75,0.987,1,0,0,0.0,0.0,0.0,0.0
146ecf8b-ffa1-4239-ba58-040b61861fd9,1,4,False,True,10,5,0.5,none,noMesh,6,1,1,0,1,6,7.45,7.45,1.0,11,10,1,57.84,90.0,22.24,206.92
146ecf8b-ffa1-4239-ba58-040b61861fd9,1,5,False,True,1,1,1.0,none,noMesh,6,2,1,0,0,18,12.41,11.76,0.948,3,2,2,90.0,90.0,42.43,0.0
146ecf8b-ffa1-4239-ba58-040b61861fd9,1,6,False,True,4,2,0.5,sloped,noMesh,4,2,1,0,1,4,18.25,18.25,1.0,5,4,1,35.64,90.0,32.83,180.17
16784bad-2cd9-4f4c-bb26-60355981cfe2,1,0,False,True,10,4,0.4,none,noMesh,11,4,0,1,2,8,18.3,18.3,1.0,10,9,0,46.4,59.39,18.96,207.15
16784bad-2cd9-4f4c-bb26-60355981cfe2,1,1,False,True,2,1,0.5,none,userScannedMesh,4,1,0,0,0,9,8.8,7.91,0.898,2,1,0,22.61,45.22,22.61,0.0
16784bad-2cd9-4f4c-bb26-60355981cfe2,1,2,False,True,3,1,0.333,none,noMesh,4,1,1,1,3,4,19.31,19.31,1.0,3,2,0,46.07,46.07,21.72,179.9
16784bad-2cd9-4f4c-bb26-60355981cfe2,1,3,False,True,6,5,0.833,sloped,noMesh,5,1,1,0,0,11,10.96,10.19,0.93,7,5,1,44.95,90.0,29.75,181.34
16784bad-2cd9-4f4c-bb26-60355981cfe2,1,4,False,True,3,0,0.0,none,noMesh,5,1,1,0,1,9,9.48,9.31,0.981,4,3,1,48.07,90.0,31.86,179.33
16784bad-2cd9-4f4c-bb26-60355981cfe2,1,5,False,True,2,2,1.0,none,userScannedMesh,4,1,1,0,1,4,6.83,6.83,1.0,2,1,0,23.14,46.28,23.14,0.0
1825a812-09d0-4407-9265-182a07053cfc,0,0,False,True,1,0,0.0,none,noMesh,4,3,2,2,0,4,11.01,11.01,1.0,1,0,0,0.0,0.0,0.0,0.0
1825a812-09d0-4407-9265-182a07053cfc,0,1,False,True,1,0,0.0,none,noMesh,4,1,1,0,1,4,7.77,7.77,1.0,1,0,0,0.0,0.0,0.0,0.0
1825a812-09d0-4407-9265-182a07053cfc,0,2,False,True,1,0,0.0,none,noMesh,4,1,1,0,2,4,11.24,11.24,1.0,1,0,0,0.0,0.0,0.0,0.0
1825a812-09d0-4407-9265-182a07053cfc,0,3,False,True,1,0,0.0,none,noMesh,4,1,1,0,0,4,7.36,7.36,1.0,1,0,0,0.0,0.0,0.0,0.0
1825a812-09d0-4407-9265-182a07053cfc,0,4,False,True,1,0,0.0,none,noMesh,6,1,1,2,3,11,13.38,12.79,0.956,1,0,0,0.0,0.0,0.0,0.0
1825a812-09d0-4407-9265-182a07053cfc,0,5,False,True,1,0,0.0,none,noMesh,4,2,1,1,3,4,13.14,13.14,1.0,1,0,0,0.0,0.0,0.0,0.0
1825a812-09d0-4407-9265-182a07053cfc,0,6,False,True,1,0,0.0,none,noMesh,6,0,0,1,0,34,6.66,3.0,0.45,1,0,0,0.0,0.0,0.0,0.0
1825a812-09d0-4407-9265-182a07053cfc,0,7,False,True,1,0,0.0,none,noMesh,2,1,0,1,0,6,5.02,5.06,1.007,1,0,0,0.0,0.0,0.0,0.0
1825a812-09d0-4407-9265-182a07053cfc,0,8,False,True,1,0,0.0,none,noMesh,3,1,1,0,3,6,6.72,6.91,1.028,1,0,0,0.0,0.0,0.0,0.0
1825a812-09d0-4407-9265-182a07053cfc,0,9,False,True,1,0,0.0,none,noMesh,6,1,1,0,1,31,6.07,4.82,0.795,1,0,0,0.0,0.0,0.0,0.0
1825a812-09d0-4407-9265-182a07053cfc,0,10,False,True,4,2,0.5,flat,noMesh,8,0,2,1,3,11,33.91,33.37,0.984,6,4,2,14.87,90.0,39.56,170.61
1900be91-8684-4316-98e2-c4fef6e6296f,1,0,False,True,16,5,0.312,sloped,noMesh,5,1,1,0,1,11,11.6,11.44,0.986,18,16,2,49.3,90.0,25.2,270.0
1900be91-8684-4316-98e2-c4fef6e6296f,1,1,True,True,16,6,0.375,sloped,noMesh,12,4,5,1,1,20,30.88,30.57,0.99,20,18,4,47.64,90.0,28.83,307.8
1900be91-8684-4316-98e2-c4fef6e6296f,1,2,False,True,4,2,0.5,none,noMesh,4,1,1,0,3,4,17.71,17.71,1.0,4,2,0,24.79,46.74,22.68,2.66
1900be91-8684-4316-98e2-c4fef6e6296f,1,3,False,True,1,0,0.0,none,noMesh,4,1,1,0,1,8,12.05,11.08,0.92,1,1,0,46.25,0.0,0.0,0.0
1900be91-8684-4316-98e2-c4fef6e6296f,0,4,False,True,1,0,0.0,none,noMesh,4,1,0,0,2,14,3.37,2.8,0.829,1,0,0,0.0,0.0,0.0,0.0
1900be91-8684-4316-98e2-c4fef6e6296f,0,5,False,True,2,0,0.0,none,noMesh,9,5,4,0,3,8,32.52,32.52,1.0,2,0,0,0.0,0.0,0.0,0.0
1900be91-8684-4316-98e2-c4fef6e6296f,0,6,False,True,1,0,0.0,none,noMesh,4,2,1,0,0,13,16.54,14.86,0.898,1,0,0,0.0,0.0,0.0,0.0
1900be91-8684-4316-98e2-c4fef6e6296f,0,8,False,True,1,1,1.0,sloped,noMesh,4,1,2,0,3,14,15.66,14.14,0.903,1,1,0,6.68,0.0,0.0,0.0
1900be91-8684-4316-98e2-c4fef6e6296f,0,10,False,True,1,0,0.0,none,noMesh,4,1,1,0,3,4,4.42,4.42,1.0,1,0,0,0.0,0.0,0.0,0.0
1900be91-8684-4316-98e2-c4fef6e6296f,0,11,False,True,4,3,0.75,none,noMesh,6,2,2,1,4,5,12.85,12.87,1.001,5,4,1,11.25,90.0,35.4,174.65
191e11c0-fd47-489c-9e3d-c8072713a761,0,1,False,True,1,0,0.0,none,noMesh,6,3,4,0,9,5,38.91,38.91,1.0,1,0,0,0.0,0.0,0.0,0.0
191e11c0-fd47-489c-9e3d-c8072713a761,0,2,False,True,1,0,0.0,none,noMesh,6,1,1,0,3,9,10.71,8.44,0.788,1,0,0,0.0,0.0,0.0,0.0
191e11c0-fd47-489c-9e3d-c8072713a761,0,3,False,True,2,0,0.0,none,noMesh,8,2,1,1,1,9,11.05,10.79,0.976,2,0,0,0.0,0.0,0.0,0.0
