uuid,total_edges,horizontal_edges,sloped_edges,ridge_or_hip_edges,eave_edges,isolated_horizontal_edges,pipeline_oblique_clusters,pipeline_oblique_surfaces,ridge_minus_clusters
c814dd8d-190b-4da2-ae80-d41c71e2b797,38,38,0,0,28,10,0,0,0
c87c1e25-ff00-44ec-b823-b0966c81af70,144,98,46,20,58,20,2,2,18
c9a43a7c-7171-484c-ac98-54f9ba59b6e6,135,110,25,19,56,35,2,2,17
cf982769-994b-4193-a621-91d46d1a3344,122,59,63,22,28,9,3,1,19
d28b528a-475b-4ac0-a38d-ee992cd877db,335,178,157,51,48,79,3,1,48
d32d5562-5763-4c71-a816-6732c638fa6a,103,73,30,12,31,30,2,2,10
d4665def-0566-4ccc-aa62-8d562ec6e424,28,28,0,0,22,6,0,0,0
d683f65d-ad08-4f69-ab23-dbd7ec1bcaed,107,96,11,4,55,37,2,2,2
d7f1aa19-5ca9-4e1b-ac1a-c86d63f9ede7,28,28,0,0,22,6,0,0,0
d8308bfc-c2c1-42bd-8503-282571708b8c,118,87,31,8,57,22,3,2,5
d904fdad-775d-4382-ba44-a4289889745e,47,47,0,0,35,12,0,0,0
d928da15-65c0-490c-84df-613a196930f0,39,39,0,0,33,6,0,0,0
d98923f0-3373-4d3c-ba03-c0df5d8b29d8,42,42,0,0,29,13,0,0,0
dd4ba0e6-c9e0-444f-b815-9ad921cd3b87,90,67,23,16,47,4,0,0,16
df1f5f4f-8801-4d5d-9c64-f0ea8e1ce027,36,36,0,0,28,8,0,0,0
dfb88995-ff0a-4025-878b-b544364f8e92,116,85,31,28,32,25,2,2,26
e0155eef-34a5-4642-bca6-39b83ee42af1,255,159,96,54,75,30,4,4,50
e01a968a-24dd-4ca3-b46f-5aff03b1779f,39,39,0,0,28,11,0,0,0
e028bcc5-73ee-45f9-924b-d7badbc66caf,198,118,80,23,57,38,3,3,20
e0796748-79fd-40ae-be1f-e5977a9fe1e5,81,73,8,4,44,25,0,0,4
e496ca55-bafb-4b8b-b3f1-5f6fb5ae8c7e,180,142,38,29,76,37,2,2,27
e4fe9821-2270-4d23-bc74-703743b5d282,69,67,2,2,37,28,0,0,2
e5adc187-70eb-4828-aa90-5fe3c46dfbce,89,70,19,13,27,30,3,3,10
e721a943-1c4f-4bd6-b8a3-f9558de79921,39,37,2,0,29,8,1,1,-1
e7452ac7-517e-4321-9201-d52bf7f0cae9,87,70,17,0,48,22,1,1,-1
e93694c4-b9a9-4184-ab47-4d0d0a8504b2,46,44,2,2,32,10,1,1,1
e9a5d5e2-17c8-4879-89f2-f6a3af5cfd38,38,38,0,0,28,10,0,0,0
e9dddee6-297a-43f5-b862-90091889ea39,218,146,72,49,50,47,2,2,47
e9f0631f-ae34-4d30-af21-d3369327755f,282,172,110,42,70,60,6,3,36
ebd94f02-abc2-476d-8bf9-9bdfbc2a58dd,73,73,0,0,47,26,0,0,0
ebded652-9e37-4267-992a-8b575c9e1016,50,50,0,0,38,12,0,0,0
ed5231c3-375e-426e-b341-62f6d2b0b3f5,52,33,19,0,27,6,1,1,-1
ed646d77-0d2b-4d72-b20d-be6aac6aa669,104,104,0,0,63,41,0,0,0
ed89b2f2-38dd-455f-a3df-13d92cdc1f8b,42,42,0,0,26,16,0,0,0
eda4954e-036f-4e74-817f-23ce2d309aa3,36,36,0,0,27,9,0,0,0
ef522d94-2279-4b9e-bd8f-90bb37043910,56,56,0,0,43,13,0,0,0
